,Product Name,RAM / Internal Memory,Battery,Display,Camera,Prices,Ratings
0,"realme 9i (Prism Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Lithium ion Battery,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 2MP | 16MP Front Camera,"12,999",4.4
1,"realme C21Y (Cross Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,5000 mAh Battery,16.51 cm (6.5 inch) HD+ Display,13MP + 2MP + 2MP | 5MP Front Camera,"10,499",4.5
2,"realme C21Y (Cross Black, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,5000 mAh Battery,16.51 cm (6.5 inch) HD+ Display,13MP + 2MP + 2MP | 5MP Front Camera,"9,499",4.6
3,"Infinix Note 11 (Celestial Snow, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,5000 mAh Li-ion Polymer Battery,17.02 cm (6.7 inch) Full HD+ AMOLED Display,50 MP + 2 MP + AI Lens | 16MP Front Camera,"11,499",4.2
4,"realme C21Y (Cross Blue, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,5000 mAh Battery,16.51 cm (6.5 inch) HD+ Display,13MP + 2MP + 2MP | 5MP Front Camera,"9,499",4.6
5,"realme C21Y (Cross Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,5000 mAh Battery,16.51 cm (6.5 inch) HD+ Display,13MP + 2MP + 2MP | 5MP Front Camera,"10,499",4.5
6,"realme C25Y (Metal Grey, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,5000 mAh Battery,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,"11,999",4.5
7,"realme 9i (Prism Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Lithium ion Battery,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 2MP | 16MP Front Camera,"12,999",4.4
8,"realme 9i (Prism Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Lithium ion Battery,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 2MP | 16MP Front Camera,"17,999",4.3
9,"POCO C31 (Royal Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,5000 mAh Lithium-ion Polymer Battery,16.59 cm (6.53 inch) HD+ Display,13MP + 2MP + 2MP | 5MP Front Camera,"8,999",4.4
10,"POCO M3 Pro 5G (Cool Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Lithium-ion Polymer Battery,16.51 cm (6.5 inch) Full HD+ Display,48MP + 2MP + 2MP | 8MP Front Camera,"12,499",4.3
11,"realme C20 (Cool Blue, 32 GB)",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,5000 mAh Battery,16.51 cm (6.5 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,"6,999",4.4
12,"realme C20 (Cool Grey, 32 GB)",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,5000 mAh Battery,16.51 cm (6.5 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,"6,999",4.4
13,"REDMI 9i Sport (Coral Green, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,5000 mAh Li-Polymer Battery,16.59 cm (6.53 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,"8,799",4.4
14,"realme Narzo 50A (Oxygen Green, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,6000 mAh Battery,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,"12,499",4.4
15,"realme 9i (Prism Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Lithium ion Battery,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 2MP | 16MP Front Camera,"17,999",4.3
16,"REDMI 9i Sport (Metallic Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,5000 mAh Li-Polymer Battery,16.59 cm (6.53 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,"8,799",4.4
17,"SAMSUNG Galaxy F12 (Sea Green, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,6000 mAh Lithium-ion Battery,16.55 cm (6.515 inch) HD+ Display,48MP + 5MP + 2MP + 2MP | 8MP Front Camera,"9,699",4.3
18,"SAMSUNG Galaxy F12 (Sky Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,6000 mAh Lithium-ion Battery,16.55 cm (6.515 inch) HD+ Display,48MP + 5MP + 2MP + 2MP | 8MP Front Camera,"9,699",4.3
19,"realme Narzo 50A (Oxygen Blue, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,6000 mAh Battery,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,"12,499",4.4
20,"realme Narzo 50A (Oxygen Green, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,6000 mAh Battery,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,"11,499",4.4
21,"MOTOROLA G60 (Frosted Champagne, 128 GB)",6 GB RAM | 128 GB ROM,6000 mAh Battery,17.22 cm (6.78 inch) Full HD+ Display,108MP + 8MP + 2MP | 32MP Front Camera,"17,999",4.2
22,"realme C25Y (Glacier Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,5000 mAh Battery,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,"11,999",4.5
23,"REDMI 9i Sport (Carbon Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,5000 mAh Li-Polymer Battery,16.59 cm (6.53 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,"8,799",4.4
